Category,Date,Sales_Value
Grocery,1/1/2015,3072
Grocery,1/2/2015,3533
Grocery,1/3/2015,6322
Grocery,1/4/2015,3706
Grocery,1/5/2015,4119
Grocery,1/6/2015,3085
Grocery,1/7/2015,2655
Grocery,1/8/2015,4068
Grocery,1/9/2015,6802
Grocery,1/10/2015,6079
Grocery,1/11/2015,3217
Grocery,1/12/2015,4616
Grocery,1/13/2015,4904
Grocery,1/14/2015,5310
Grocery,1/15/2015,2661
Grocery,1/16/2015,1926
Grocery,1/17/2015,3112
Grocery,1/18/2015,3158
Grocery,1/19/2015,3302
Grocery,1/20/2015,6335
Grocery,1/21/2015,5109
Grocery,1/22/2015,3812
Grocery,1/23/2015,2985
Grocery,1/24/2015,5903
Grocery,1/25/2015,6025
Grocery,1/26/2015,7645
Grocery,1/27/2015,5967
Grocery,1/28/2015,4388
Grocery,1/29/2015,3588
Grocery,2/1/2015,8449
Grocery,2/2/2015,5069
Grocery,2/3/2015,7922
Grocery,2/4/2015,5611
Grocery,2/5/2015,6501
Grocery,2/6/2015,4758
Grocery,2/7/2015,6061
Grocery,2/8/2015,5015
Grocery,2/9/2015,8231
Grocery,2/10/2015,3874
Grocery,2/11/2015,6780
Grocery,2/12/2015,6663
Grocery,2/13/2015,5734
Grocery,2/14/2015,5511
Grocery,2/15/2015,9058
Grocery,2/16/2015,3302
Grocery,2/17/2015,6335
Grocery,2/18/2015,5109
Grocery,2/19/2015,3812
Grocery,2/20/2015,2985
Grocery,2/21/2015,5903
Grocery,2/22/2015,7029
Grocery,2/23/2015,5692
Grocery,2/24/2015,4044
Grocery,2/25/2015,4857
Grocery,2/26/2015,2286
Grocery,2/27/2015,3418
Grocery,2/28/2015,6118
Grocery,3/1/2015,11000
Grocery,3/2/2015,5669
Grocery,3/3/2015,4067
Grocery,3/4/2015,5527
Grocery,3/5/2015,5841
Grocery,3/6/2015,3029
Grocery,3/7/2015,6828
Grocery,3/8/2015,8763
Grocery,3/9/2015,4556
Grocery,3/10/2015,5967
Grocery,3/11/2015,4388
Grocery,3/12/2015,3588
Grocery,3/13/2015,3146
Grocery,3/14/2015,6208
Grocery,3/15/2015,5491
Grocery,3/16/2015,5093
Grocery,3/17/2015,4541
Grocery,3/18/2015,5794
Grocery,3/19/2015,4046
Grocery,3/20/2015,4942
Grocery,3/21/2015,7636
Grocery,3/22/2015,6736
Grocery,3/23/2015,3840
Grocery,3/24/2015,2588
Grocery,3/25/2015,5450
Grocery,3/26/2015,3565
Grocery,3/27/2015,4614
Grocery,3/28/2015,6360
Grocery,3/29/2015,8571
Grocery,3/30/2015,2262
Grocery,3/31/2015,4387
Grocery,4/1/2015,4767
Grocery,4/2/2015,6132
Grocery,4/3/2015,7601
Grocery,4/4/2015,7876
Grocery,4/5/2015,9427
Grocery,4/6/2015,4956
Grocery,4/7/2015,7223
Grocery,4/8/2015,3070
Grocery,4/9/2015,5111
Grocery,4/10/2015,8376
Grocery,4/11/2015,6650
Grocery,4/12/2015,9223
Grocery,4/13/2015,2648
Grocery,4/14/2015,3814
Grocery,4/15/2015,4705
Grocery,4/16/2015,1856
Grocery,4/17/2015,3852
Grocery,4/18/2015,6848
Grocery,4/19/2015,7964
Grocery,4/20/2015,4220
Grocery,4/21/2015,4832
Grocery,4/22/2015,3089
Grocery,4/23/2015,5190
Grocery,4/24/2015,2064
Grocery,4/25/2015,5069
Grocery,4/26/2015,7922
Grocery,4/27/2015,5611
Grocery,4/28/2015,6501
Grocery,4/29/2015,4758
Grocery,4/30/2015,6061
Grocery,5/1/2015,5015
Grocery,5/2/2015,8231
Grocery,5/3/2015,9849
Grocery,5/4/2015,3359
Grocery,5/5/2015,5193
Grocery,5/6/2015,5334
Grocery,5/7/2015,5790
Grocery,5/8/2015,5667
Grocery,5/9/2015,7913
Grocery,5/10/2015,7302
Grocery,5/11/2015,5244
Grocery,5/12/2015,5532
Grocery,5/13/2015,5560
Grocery,5/14/2015,4201
Grocery,5/15/2015,2821
Grocery,5/16/2015,6379
Grocery,5/17/2015,7794
Grocery,5/18/2015,6135
Grocery,5/19/2015,2923
Grocery,5/20/2015,4713
Grocery,5/21/2015,5673
Grocery,5/22/2015,3226
Grocery,5/23/2015,5380
Grocery,5/24/2015,6980
Grocery,5/25/2015,4185
Grocery,5/26/2015,3929
Grocery,5/27/2015,3329
Grocery,5/28/2015,3816
Grocery,5/29/2015,2742
Grocery,5/30/2015,5148
Grocery,5/31/2015,5253
Grocery,6/1/2015,5515
Grocery,6/2/2015,5505
Grocery,6/3/2015,4504
Grocery,6/4/2015,4325
Grocery,6/5/2015,4131
Grocery,6/6/2015,6895
Grocery,6/7/2015,7000
Grocery,6/8/2015,3608
Grocery,6/9/2015,6338
Grocery,6/10/2015,5180
Grocery,6/11/2015,4296
Grocery,6/12/2015,3970
Grocery,6/13/2015,6625
Grocery,6/14/2015,7786
Grocery,6/15/2015,5317
Grocery,6/16/2015,5669
Grocery,6/17/2015,4835
Grocery,6/18/2015,5164
Grocery,6/19/2015,3251
Grocery,6/20/2015,7402
Grocery,6/21/2015,10343
Grocery,6/22/2015,5942
Grocery,6/23/2015,4809
Grocery,6/24/2015,6268
Grocery,6/25/2015,2303
Grocery,6/26/2015,4173
Grocery,6/27/2015,5377
Grocery,6/28/2015,7251
Grocery,6/29/2015,4375
Grocery,6/30/2015,5945
Grocery,7/1/2015,4179
Grocery,7/2/2015,4965
Grocery,7/3/2015,4199
Grocery,7/4/2015,7136
Grocery,7/5/2015,5951
Grocery,7/6/2015,3722
Grocery,7/7/2015,3633
Grocery,7/8/2015,4011
Grocery,7/9/2015,5320
Grocery,7/10/2015,4329
Grocery,7/11/2015,6051
Grocery,7/12/2015,8250
Grocery,7/13/2015,4728
Grocery,7/14/2015,2644
Grocery,7/15/2015,3745
Grocery,7/16/2015,4279
Grocery,7/17/2015,3823
Grocery,7/18/2015,4442
Grocery,7/19/2015,5517
Grocery,7/20/2015,5053
Grocery,7/21/2015,3294
Grocery,7/22/2015,5942
Grocery,7/23/2015,1937
Grocery,7/24/2015,2708
Grocery,7/25/2015,6275
Grocery,7/26/2015,8347
Grocery,7/27/2015,3507
Grocery,7/28/2015,2640
Grocery,7/29/2015,3842
Grocery,7/30/2015,2641
Grocery,7/31/2015,2857
Grocery,8/1/2015,7542
Grocery,8/2/2015,4901
Grocery,8/3/2015,4722
Grocery,8/4/2015,3126
Grocery,8/5/2015,4950
Grocery,8/6/2015,4482
Grocery,8/7/2015,5884
Grocery,8/8/2015,7404
Grocery,8/9/2015,6398
Grocery,8/10/2015,3085
Grocery,8/11/2015,3806
Grocery,8/12/2015,3334
Grocery,8/13/2015,3856
Grocery,8/14/2015,4651
Grocery,8/15/2015,9564
Grocery,8/16/2015,4672
Grocery,8/17/2015,4589
Grocery,8/18/2015,2909
Grocery,8/19/2015,4366
Grocery,8/20/2015,3926
Grocery,8/21/2015,3045
Grocery,8/22/2015,4850
Grocery,8/23/2015,4281
Grocery,8/24/2015,2656
Grocery,8/25/2015,2632
Grocery,8/26/2015,2471
Grocery,8/27/2015,3059
Grocery,8/28/2015,3726
Grocery,8/29/2015,3278
Grocery,8/30/2015,5702
Grocery,8/31/2015,4662
Grocery,9/1/2015,5485
Grocery,9/2/2015,2792
Grocery,9/3/2015,4520
Grocery,9/4/2015,3383
Grocery,9/5/2015,6270
Grocery,9/6/2015,7391
Grocery,9/7/2015,6221
Grocery,9/8/2015,5445
Grocery,9/9/2015,4192
Grocery,9/10/2015,3505
Grocery,9/11/2015,4781
Grocery,9/12/2015,6468
Grocery,9/13/2015,8199
Grocery,9/14/2015,7571
Grocery,9/15/2015,6179
Grocery,9/16/2015,5100
Grocery,9/17/2015,3056
Grocery,9/18/2015,2270
Grocery,9/19/2015,6456
Grocery,9/20/2015,4696
